"","Variable","Units","Definition","CodeLocation","OldVariable","Location","Live Link","Note","PlottingName_R"
"1","DatasetName",NA,"Name of the DataStream dataset which the data are stored in.",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"2","MonitoringLocationID",NA,"Unique name or code used to identify the monitoring site (assigned by monitoring organization).",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"3","MonitoringLocationName",NA,"Geographically descriptive name of the monitoring site.",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"4","MonitoringLocationLatitude",NA,"Latitude. Decimal 6 to 8 digits.",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"5","MonitoringLocationLongitude",NA,"Longitude. Decimal 6 to 9 digits.",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"6","MonitoringLocationHorizontalCoordinateReferenceSystem",NA,"The datum that your latitude and longitude coordinates are based upon. Commonly used datum are NAD83 or NAD27.",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"7","MonitoringLocationHorizontalAccuracyMeasure",NA,"The horizontal measure of the relative accuracy of the latitude and longitude coordinates. This can be used when inputting 'fuzzy' coordinates designed to prevent showcasing exact coordinates of monitoring locations or when significant error in the accuracy of coordinates may exist.",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"8","MonitoringLocationHorizontalAccuracyUnit",NA,"Units for Monitoring Location Horizontal Accuracy Measure.",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"9","MonitoringLocationVerticalMeasure",NA,NA,NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"10","MonitoringLocationVerticalUnit",NA,NA,NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"11","MonitoringLocationType",NA,"Type of monitoring location.",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"12","ActivityType",NA,"Type of activity. There are several options, but in most cases the following defaults can be used: Sample-Routine (for samples taken and sent to a lab) or Field Msr/Obs (for measurements taken at a site such as with a probe or other on site instrument).",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"13","ActivityMediaName",NA,"Medium in which sample or measurement was taken (ex: Surface Water, Sediment, etc.).",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"14","ActivityStartDate",NA,"Date sample or field measurement collection started. (Ex.2014-05-02)",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,"Measurement_Date"
"15","ActivityStartTime","hh:mm:ss","Time sample or field measurement collection started. (Ex. 13:08:01)",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"16","ActivityEndDate",NA,"Date sample or field measurement collection ended. (Ex.2014-05-02)",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"17","ActivityEndTime","hh:mm:ss","Time sample or field measurement collection ended. (Ex. 13:08:01)",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"18","ActivityDepthHeightMeasure",NA,"The distance from the measurement point to where an activity (i.e. sampling event) is conducted (depth or height measured from a reference point). For water and sediment samples, values should be reported as negative.",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"19","ActivityDepthHeightUnit",NA,"Units for Activity Depth Height Measure. Required if Activity Depth Height Measure entered.",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"20","SampleCollectionEquipmentName",NA,"Equipment used to collect the sample.",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"21","CharacteristicName",NA,"Identifies what is being measured (Ex. Temperature, pH) in a field or lab result. The name used must have a match in the Allowed Values list.",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"22","MethodSpeciation",NA,"Identifies the chemical speciation, where applicable (Ex. Ammonium may be measured as N or NH4).",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"23","ResultSampleFraction",NA,"Describes the portion of the characteristic being analyzed. Required for certain characteristics, see CharacteristicName LOOKUP tab. Sample Fraction will usually be Total or Dissolved.",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"24","ResultValue",NA,"The results of a field measurement, sampling event, or lab analysis. NOTE: Results above or below detection limits (Ex. < or > values) should not be reported here. If the result is above or below the detection limit, the Result Value should be blank, and the Result Detection Condition should be filled in (Ex. 'Below Detection/Quantification Limit').",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,"Bacterial_Count"
"25","ResultUnit","MPN or CFU","Units for Result Value. Bacterial counts from diverse sources were reported as ""Fecal Coliform"", ""*Escherichia coli*"" or sometimes ""Total Coliform"", with units of Most Probable Number (MPN) or Colony Forming Units (CFU) per 100 mL.",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"26","ResultValueType",NA,"Qualifies process used in the determination of result value (Ex. Actual, Estimated, Calculated).",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"27","ResultDetectionCondition",NA,"Used to document a result for which there is no specific numeric value (Ex. Below Detection/Quantification Limit).",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
"28","ResultDetectionQuantitationLimitMeasure",NA,"The reportable measure of the result for the chemical, microbiological or other characteristic being analyzed. Required if Result Detection Condition is `Above Detection/Quantification Limit` or `Below Detection/Quantification Limit'. Not to be included if the Result Detection Condition is 'Not Detected' or 'Detected Not Quantified'.",NA,NA,"DataStream","https://atlanticdatastream.ca",NA,NA
